Time_s,FP1_Fx,FP1_Fy,FP1_Fz,FP2_Fx,FP2_Fy,FP2_Fz
0.945000,2.404175,0.240417,8.514954,85.588625,38.066102,1099.059779
0.950000,2.324036,1.282227,-7.568848,110.752322,33.818726,1055.854273
0.955000,0.961670,-0.721252,-5.676636,137.919498,29.811768,1000.980126
0.960000,2.404175,-0.320557,5.676636,156.992618,21.797852,940.429344
0.965000,2.644592,-0.721252,-7.253479,161.881107,15.306580,871.994344
0.970000,1.682922,-1.682922,-6.622742,164.525700,9.937256,801.036396
0.975000,2.564453,-2.243897,-6.938111,161.800968,6.891968,726.924761
0.980000,3.045288,0.080139,-5.045899,157.393314,-2.564453,638.306167
0.985000,1.282227,0.240417,-1.892212,154.748722,-7.853638,564.509901
0.990000,1.602783,0.080139,-4.415161,145.692997,-10.898926,485.667736
0.995000,2.484314,-0.641113,4.730530,128.863773,-11.940735,407.140940
1.000000,2.003479,0.160278,-2.838318,110.031069,-8.094055,335.867623
1.005000,2.404175,0.721252,-3.784424,91.518923,-12.341431,276.578315
1.010000,4.648071,-0.000000,-0.630737,76.853456,-8.574890,211.612371
1.015000,2.644592,-0.721252,3.469055,57.139223,-9.135864,161.784122
1.020000,3.205566,1.282227,9.145691,48.884889,-7.533081,131.193362
1.025000,4.407654,-0.721252,-7.884216,31.414552,-4.167236,95.556704
1.030000,2.243897,0.961670,2.838318,20.195069,-0.480835,64.650575
1.035000,2.163757,-2.003479,-0.000000,13.864075,0.881531,58.658571
1.040000,2.564453,-2.243897,0.315369,5.449463,-2.083618,29.013917
1.045000,0.480835,0.080139,-10.722534,3.045288,-1.522644,22.706544
1.050000,3.285706,0.560974,-12.930115,0.400696,-0.080139,16.399170
1.055000,1.602783,0.641113,-5.992005,-2.484314,1.923340,15.768433
1.060000,0.080139,0.480835,-2.207581,1.362366,-3.205566,-0.630737
1.065000,2.404175,-0.961670,-5.361267,-1.041809,1.442505,-2.838318
1.070000,0.641113,-0.480835,1.576843,-0.721252,0.801392,-0.315369
1.075000,2.484314,0.801392,-6.307373,-0.320557,-0.400696,7.884216
1.080000,1.522644,-1.041809,-0.000000,1.041809,-1.041809,7.568848
1.085000,2.804871,1.041809,-8.199585,-0.400696,-1.522644,2.207581
1.090000,1.923340,-0.240417,-2.522949,-0.641113,-0.961670,5.676636
1.095000,2.163757,0.160278,-9.776428,0.721252,-1.682922,-9.461060
1.100000,2.324036,-2.003479,-4.415161,-1.682922,-1.442505,7.568848
1.105000,3.526123,0.480835,-2.838318,-0.000000,-0.721252,7.568848
1.110000,2.885010,-0.240417,-7.568848,-0.560974,0.641113,7.568848
1.115000,2.804871,0.080139,1.892212,-0.160278,-0.801392,2.838318
1.120000,1.522644,-0.721252,-4.099793,-0.320557,-1.282227,-4.730530
1.125000,2.564453,-2.484314,-7.253479,0.080139,0.480835,-7.568848
1.130000,2.404175,1.442505,-1.892212,-0.480835,1.763062,6.622742
1.135000,2.965149,-0.641113,-1.576843,-1.121948,-0.801392,-3.153687
1.140000,2.083618,0.080139,-3.784424,-1.121948,-2.243897,6.938111
1.145000,1.522644,-2.003479,-3.153687,-1.843201,-0.801392,-2.522949
1.150000,0.240417,-0.160278,6.307373,-1.202087,1.121948,11.984009
1.155000,2.804871,-1.522644,-3.153687,-2.404175,1.602783,-2.207581
1.160000,3.526123,-0.320557,-2.522949,-1.202087,-1.362366,-6.938111
1.165000,1.763062,0.641113,-3.784424,-1.923340,0.160278,7.884216
1.170000,2.083618,0.320557,-11.984009,-3.606262,-0.160278,-6.307373
1.175000,1.282227,0.400696,-2.207581,-2.243897,-2.163757,1.892212
1.180000,1.843201,-0.480835,0.315369,-1.923340,4.167236,3.784424
1.185000,2.404175,-0.801392,1.576843,-0.480835,2.564453,9.145691
1.190000,2.564453,-0.641113,-9.461060,-2.965149,-1.923340,6.622742
1.195000,2.885010,1.282227,4.099793,-3.045288,0.721252,5.676636
1.200000,2.243897,0.080139,-9.145691,-1.923340,-1.041809,5.992005
1.205000,0.801392,-0.721252,2.207581,-2.644592,-1.602783,2.838318
1.210000,3.125427,-1.282227,1.892212,-2.564453,-1.682922,2.838318
1.215000,2.484314,1.442505,-5.045899,-1.682922,1.041809,-6.622742
1.220000,1.121948,0.240417,3.469055,-1.763062,0.641113,1.892212
1.225000,1.763062,-0.160278,-0.315369,-1.202087,0.400696,1.892212
1.230000,1.843201,-1.121948,-4.099793,-0.320557,-3.045288,-4.099793
1.235000,1.282227,-0.881531,-4.730530,-0.721252,-1.362366,3.153687
1.240000,1.763062,-0.961670,-1.892212,-0.961670,0.400696,-3.153687
1.245000,0.320557,0.320557,-0.315369,-1.041809,-0.560974,9.145691
1.250000,3.285706,1.121948,5.045899,0.240417,1.442505,-3.784424
1.255000,2.484314,1.682922,-0.630737,-0.240417,-0.000000,3.153687
1.260000,3.125427,0.961670,-3.784424,2.804871,1.282227,6.622742
1.265000,1.602783,-2.003479,-4.099793,0.721252,-0.721252,11.984009
1.270000,1.763062,0.881531,-5.992005,1.923340,-0.160278,-1.576843
1.275000,2.564453,-0.801392,-7.568848,0.641113,0.480835,-1.261475
1.280000,3.205566,-0.160278,-2.207581,0.400696,0.240417,-16.714539
1.285000,3.285706,-0.240417,9.145691,1.522644,0.080139,-4.415161
1.290000,2.404175,0.721252,-4.099793,0.721252,-0.320557,-6.307373
1.295000,1.202087,-0.000000,2.207581,2.324036,1.442505,7.253479
1.300000,2.163757,-1.522644,5.045899,0.961670,1.202087,-4.099793
1.305000,1.202087,0.641113,-2.838318,1.362366,1.442505,-1.576843
1.310000,2.885010,-1.442505,0.946106,-0.240417,-0.881531,6.938111
1.315000,1.682922,-1.843201,-8.830322,1.602783,0.320557,-6.307373
1.320000,3.365845,-0.881531,-1.576843,1.763062,0.160278,-7.884216
1.325000,2.163757,-1.522644,-0.630737,0.641113,0.400696,10.091797
1.330000,2.243897,-1.763062,-5.361267,0.961670,-0.881531,0.315369
1.335000,1.442505,-0.721252,2.207581,-0.320557,-0.320557,-4.415161
1.340000,2.243897,-0.721252,0.315369,1.282227,0.480835,1.892212
1.345000,2.644592,0.721252,-5.361267,-0.160278,-0.400696,-10.407166
1.350000,2.965149,-1.121948,-0.630737,-0.641113,-0.480835,-0.315369
1.355000,3.045288,-1.602783,1.576843,0.721252,-0.320557,2.522949
1.360000,1.843201,3.125427,-1.892212,-0.080139,-1.522644,-0.946106
1.365000,2.324036,0.400696,-6.307373,-1.202087,-0.080139,5.992005
1.370000,2.404175,0.480835,-3.784424,-0.560974,-1.362366,-2.207581
